continent,common_name,species_name
North America,Great Skua,Stercorarius skua
North America,South Polar Skua,Stercorarius maccormicki
North America,Brown Skua,Stercorarius antarcticus
North America,Pomarine Jaeger,Stercorarius pomarinus
North America,Parasitic Jaeger,Stercorarius parasiticus
North America,Long-tailed Jaeger,Stercorarius longicaudus
North America,Dovekie,Alle alle
North America,Common Murre,Uria aalge
North America,Thick-billed Murre,Uria lomvia
North America,Razorbill,Alca torda
North America,Great Auk,Pinguinus impennis
North America,Black Guillemot,Cepphus grylle
North America,Pigeon Guillemot,Cepphus columba
North America,Long-billed Murrelet,Brachyramphus perdix
North America,Marbled Murrelet,Brachyramphus marmoratus
North America,Kittlitz's Murrelet,Brachyramphus brevirostris
North America,Scripps's Murrelet,Synthliboramphus scrippsi
North America,Guadalupe Murrelet,Synthliboramphus hypoleucus
North America,Craveri's Murrelet,Synthliboramphus craveri
North America,Ancient Murrelet,Synthliboramphus antiquus
North America,Cassin's Auklet,Ptychoramphus aleuticus
North America,Parakeet Auklet,Aethia psittacula
North America,Least Auklet,Aethia pusilla
North America,Whiskered Auklet,Aethia pygmaea
North America,Crested Auklet,Aethia cristatella
